,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
4688,Furious 7,2015,PG-13,137,Action,James Wan,"Chris Morgan, Gary Scott Thompson (characters)","Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"English, Thai, Arabic, Spanish","USA, China, Japan, Canada, United Arab Emirates",Other Win,67.0,7.2,343570,1,316986481.0,Universal Pictures,123.0,big,1
4689,Uncle John,2015,Not Rated,113,Crime,Steven Piet,"Erik Crary, Steven Piet","John Ashton, Alex Moffat, Jenna Lyng Adams, Ronnie Gene Blevins","In this tale of small town intrigue, an urbanite returns to his quiet hometown on an impromptu trip as his Uncle, widely respected in town, struggles to evade suspicion of a murder.",English,USA,Other Win,56.0,6.2,1596,1,0.0,Filmbluff,1.0,small,0
4692,The Diabolical,2015,TV-MA,86,Horror,Alistair Legrand,"Alistair Legrand, Luke Harvis","Ali Larter, Arjun Gupta, Max Rose, Chloe Perrin","A single mother, and her children, are awoken nightly by an intense presence. She asks her scientist boyfriend to destroy the violent spirit, that paranormal experts are too frightened to take on.",English,USA,,25.0,4.7,5039,1,0.0,,,small,0
4693,Krisha,2015,R,83,Drama,Trey Edward Shults,Trey Edward Shults,"Krisha Fairchild, Alex Dobrenko, Robyn Fairchild, Chris Doubek","Krisha returns for Thanksgiving dinner after ten years away from her family, but past demons threaten to ruin the festivities.",English,USA,Other Win,86.0,7.2,6473,0,143978.0,A24 Films,16.0,small,1
4696,Wild Horses,2015,R,100,Crime,Robert Duvall,"Robert Duvall, Michael Shell (story)","Robert Duvall, James Franco, Darien Willardson, Angie Cepeda","A detective opens up a fifteen-year-old missing persons case, and begins to suspect that the missing boy was murdered, and that a local rancher was involved.",English,USA,,44.0,4.8,2970,1,0.0,Eone Films,4.0,small,0
4697,Danny Collins,2015,R,106,Biography,Dan Fogelman,Dan Fogelman,"Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale",An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.,English,USA,Other Win,58.0,7.0,28420,1,4242318.0,Bleecker Street Films,1.0,small,0
4699,Field of Lost Shoes,2015,PG-13,96,Action,Sean McNamara,"Thomas Farrell, Thomas Farrell, David M. Kennedy, David M. Kennedy","Michael Krebs, Jake Lawson, Sean Marquette, David Arquette","Based on a true story of the American Civil War, culminating at the Battle of New Market, May 1864. A group of teenage cadets sheltered from war at the Virginia Military Institute must ...",English,USA,Other Win,28.0,5.7,1475,1,0.0,Bosch Media,1.0,small,0
4700,Do You Believe?,2015,PG-13,120,Drama,Jon Gunn,"Chuck Konzelman, Cary Solomon","Grifon Aldren, Sean Astin, Brian Bosworth, Valerie Domínguez","When a pastor is shaken by the visible faith of a street corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",English,USA,Nomination,22.0,6.1,6691,1,9172156.0,Freestyle Releasing,23.0,small,0
4712,Nightlight,2015,R,85,Horror,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Shelby Young, Carter Jenkins, Chloe Bridges, Taylor Murphy",Five friends play a game in a ''mysterious'' forest with a long history as a beacon for troubled young people contemplating suicide.,English,USA,,27.0,4.4,1854,1,0.0,Lionsgate,58.0,big,0
4713,A Girl Like Her,2015,PG-13,91,Drama,Amy S. Weber,Amy S. Weber,"Hunter King, Lexi Ainsworth, Jimmy Bennett, Amy S. Weber","Jessica Burns enlists the help of her best friend, Brian, in order to document the relentless harassment she's received from her former friend, Avery Keller, one of South Brookdale High School's most popular students.",English,USA,,54.0,7.0,6502,0,0.0,Parkside Releasing,1.0,small,0
4714,Any Day,2015,Not Rated,100,Drama,Rustam Branaman,"Rustam Branaman (screenplay), Rustam Branaman","Sean Bean, Eva Longoria, Kate Walsh, Tom Arnold",An ex-fighter finds redemption from his troubled past.,English,USA,,14.0,5.0,1075,1,0.0,Gravitas Ventures,35.0,big,0
4727,Dark Places,2015,R,113,Action,Gilles Paquet-Brenner,"Gilles Paquet-Brenner (written for the screen by), Gillian Flynn (novel)","Charlize Theron, Sterling Jerins, Nicholas Hoult, Christina Hendricks","Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.",English,"USA, UK, France",,39.0,6.2,39343,1,129483.0,A24 and DIRECTV,13.0,small,0
4733,Careful What You Wish For,2015,R,91,Drama,Elizabeth Allen Rosenbaum,Chris Frisina,"Nick Jonas, Kiki Harris, David Sherrill, Graham Rogers","A guy gets more than he bargained for after entering into an affair with the wife of an investment banker. Soon, a suspicious death and substantial life insurance policy embroil him in a scandal.",English,USA,Nomination,32.0,5.6,6977,0,0.0,,,small,0
4734,The Girl Is in Trouble,2015,Not Rated,90,Action,Julius Onah,"Julius Onah, Mayuran Tiruchelvam","Columbus Short, Wilmer Valderrama, Alicja Bachleda, Jesse Spencer","A Lower East Side bartender becomes entangled in a murder mystery involving a desperate woman, a missing drug dealer and the scion of a powerful investment firm.",English,USA,,55.0,4.9,804,1,0.0,eOne Entertainment,2.0,small,0
4735,The Longest Ride,2015,PG-13,123,Drama,George Tillman Jr.,"Nicholas Sparks (novel), Craig Bolotin (screenplay)","Britt Robertson, Scott Eastwood, Alan Alda, Jack Huston","The lives of a young couple intertwine with a much older man, as he reflects back on a past love.",English,USA,Other Win,33.0,7.1,72446,1,0.0,20th Century Fox,133.0,big,0
4743,The Age of Adaline,2015,PG-13,112,Drama,Lee Toland Krieger,"J. Mills Goodloe (screenplay by), Salvador Paskowitz (screenplay by), J. Mills Goodloe (screenplay), J. Mills Goodloe (story by), Salvador Paskowitz (story by)","Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.","English, Portuguese, Italian","USA, Canada",Other Win,51.0,7.2,144316,1,0.0,Lionsgate,58.0,big,0
4745,Broken Horses,2015,R,101,Action,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Abhijat Joshi","Henry Shotwell, Thomas Jane, Nicholas Neve, Sean Patrick Flanery","The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars.",English,USA,,32.0,5.6,1980,1,0.0,Vinod Chopra Films,1.0,small,0
4746,Paul Blart: Mall Cop 2,2015,PG,94,Action,Andy Fickman,"Kevin James, Nick Bakay, Kevin James (characters), Nick Bakay (characters)","Kevin James, Raini Rodriguez, Neal McDonough, Daniella Alonso","After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.",English,USA,Other Win,13.0,4.4,32174,1,0.0,Sony Pictures,90.0,big,0
4749,Sacrifice,2016,Not Rated,91,Crime,Peter A. Dowling,"Peter A. Dowling (screenplay by), Sharon Bolton (based on the novel ""Sacrifice"" by)","Radha Mitchell, Rupert Graves, Hilary Rose, Ian McElhinney","After digging up a bizzarly mutilated corpse on her land, physician Tora Hamilton uncovers a lethal connection to ancient pagan rituals.",English,"Ireland, Germany, USA",,23.0,5.3,3953,1,0.0,,,small,0
4760,Backgammon,2015,TV-14,89,Drama,Francisco Orvañanos,"Todd Niemi, Francisco Orvañanos, R.B. Russell","Brittany Allen, Noah Silver, Olivia Crocicchia, Alex Beh","When Lucian and Miranda are left alone in an isolated mansion for the weekend, their mutual attraction grows, as does their unease about the whereabouts of Miranda's ex-boyfriend who may be hiding somewhere in the house.",English,"Mexico, USA",Nomination,22.0,3.4,222,0,0.0,,,small,0
4763,Avengers: Age of Ultron,2015,PG-13,141,Action,Joss Whedon,"Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","English, Korean",USA,Other Win,66.0,7.3,697604,1,429113729.0,Walt Disney Pictures,68.0,big,1
4767,Child 44,2015,R,137,Crime,Daniel Espinosa,"Richard Price (screenplay), Tom Rob Smith (novel)","Xavier Atkins, Mark Lewis Jones, Tom Hardy, Joel Kinnaman",A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,"English, Russian","Czech Republic, UK, USA, Russia",Nomination,41.0,6.5,61747,1,1314609.0,Summit Entertainment,33.0,big,0
4769,Far from the Madding Crowd,2015,PG-13,119,Drama,Thomas Vinterberg,"Thomas Hardy (based on the novel by), David Nicholls (screenplay by)","Carey Mulligan, Matthias Schoenaerts, Tilly Vosburgh, Mark Wingett","In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",English,"UK, USA",Other Win,71.0,7.1,42344,1,0.0,20th Century Fox,133.0,big,1
4770,Echoes of War,2015,R,100,Drama,Kane Senes,"John Chriss, Kane Senes","James Badge Dale, Ethan Embry, William Forsythe, Maika Monroe","A Civil War veteran returns home to the quiet countryside, only to find himself embroiled in a conflict between his family and the brutish cattle rancher harassing them.",English,USA,Nomination,41.0,5.4,1126,1,0.0,Arc Entertainment,19.0,small,0
4771,The Adderall Diaries,2015,R,87,Crime,Pamela Romanowsky,"Pamela Romanowsky, Stephen Elliott (based on the book by)","James Franco, Ed Harris, Amber Heard, Jim Parrack","Elliot, a troubled former successful writer decides to write about a missing wife and the following murder trial of her husband.",English,USA,Nomination,42.0,5.3,3725,1,11287.0,A24 and DIRECTV,13.0,small,0
4773,Don't Worry Baby,2015,R,88,Comedy,Julian Branciforte,Julian Branciforte,"John Magaro, Christopher McDonald, Dreama Walker, Tom Lipinski","A struggling photographer and his philandering father unknowingly have a one-night stand with the same woman. Four years later, they learn that either one of them might have fathered her daughter.",English,USA,,55.0,5.4,284,0,0.0,,,small,0
4775,How He Fell in Love,2015,Not Rated,107,Drama,Marc Meyers,Marc Meyers,"Matt McGorry, Amy Hargreaves, Mark Blum, Britne Oldford",A casual affair between a young musician and a married woman turns into an intimate and profound connection that threatens to derail their lives.,English,USA,Nomination,52.0,6.4,295,0,0.0,Ibid Filmworks,1.0,small,0
4778,Pixels,2015,PG-13,105,Action,Chris Columbus,"Tim Herlihy (screenplay), Timothy Dowling (screenplay), Tim Herlihy (screen story), Patrick Jean (short film)","Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","English, Hindi, Japanese","USA, China, Canada",Other Win,27.0,5.6,124254,1,66412009.0,Sony Pictures,90.0,big,0
4779,Safelight,2015,R,84,Drama,Tony Aloupis,Tony Aloupis,"Evan Peters, Juno Temple, Christine Lahti, Kevin Alejandro",A teenage boy and girl discover a renewed sense of possibility as they go on a road trip to photograph lighthouses along the California coast.,English,USA,Other Win,26.0,5.9,1770,1,0.0,Arc Entertainment,19.0,small,0
4780,The Wannabe,2015,R,90,Crime,Nick Sandow,Nick Sandow,"Vincenzo Amato, Patricia Arquette, Nicholas Belleas, Jay Bulger","Thomas is obsessed with mob culture and sets out to fix the 1992 trial of mob-boss John Gotti. He believes if the plan is executed, it will put him at the center of all that he idolizes. He wants to fit in and get attention.",English,USA,Other Win,49.0,5.0,1465,1,0.0,Electric Entertainment,4.0,small,0
4781,The Benefactor,2015,TV-MA,93,Drama,Andrew Renzi,Andrew Renzi,"Richard Gere, Dylan Baker, Cheryl Hines, Dakota Fanning",A philanthropist meddles in the lives of newly-married couples in an attempt to relive his past.,English,USA,Other Win,40.0,5.1,4134,1,0.0,Treehouse Pictures,1.0,small,0
4783,Meadowland,2015,R,105,Drama,Reed Morano,Chris Rossi,"Olivia Wilde, Luke Wilson, Giovanni Ribisi, Elisabeth Moss","A year after their son goes missing, a couple handle the loss in varying ways, growing apart from one another and their reality.",English,USA,Other Win,67.0,5.8,3518,0,0.0,Meadowland Production,1.0,small,1
4785,King Jack,2015,Not Rated,81,Adventure,Felix Thompson,Felix Thompson,"Charlie Plummer, Cory Nichols, Christian Madsen, Danny Flaherty",An underprivileged teenager bonds with his young cousin while facing off against a vicious bully.,English,USA,Other Win,72.0,7.0,2630,1,0.0,Well Go USA,10.0,small,1
4787,Men Go to Battle,2015,Not Rated,98,Comedy,Zachary Treitz,"Kate Lyn Sheil, Zachary Treitz","Charlotte Arnold, Steve Coulter, Samantha Jacober, Emily Kicklighter",Men Go To Battle is the story of two brothers struggling to hold their crumbling estate together outside a small Kentucky town in the fall of 1861.,English,USA,Other Win,72.0,5.2,275,0,17950.0,Film Movement,7.0,small,1
4788,Mojave,2015,R,93,Drama,William Monahan,William Monahan (screenplay),"Garrett Hedlund, Louise Bourgoin, Cletus Young, Oscar Isaac","A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter.","English, Spanish",USA,,41.0,5.2,3931,0,0.0,,,small,0
4790,One More Time,2015,Not Rated,98,Comedy,Robert Edwards,Robert Edwards,"Christopher Walken, Amber Heard, Kelli Garner, Hamish Linklater",A New York City crooner plots his comeback.,English,USA,Other Win,57.0,5.2,2016,1,0.0,Maybach Film Productions,1.0,small,0
4793,Dirty Weekend,2015,Not Rated,93,Comedy,Neil LaBute,Neil LaBute,"Matthew Broderick, Alice Eve, Phil Burke, Gia Crovatin","Colleagues Les and Natalie are delayed in the Albuquerque airport. Restless, irritated, and unable to stand the service workers he meets at every turn, Les heads downtown. Natalie refuses ...",English,"USA, Mexico",,39.0,4.9,1813,0,0.0,Entertainment One Films,6.0,small,0
4795,Bare,2015,Not Rated,90,Drama,Natalia Leite,Natalia Leite,"Dianna Agron, Paz de la Huerta, Chris Zylka, Louisa Krause","A young girl in Nevada becomes romantically involved with a female drifter who introduces her to a life of stripping, drugs, and metaphysical experiences that teach her what happens when real life catches up with dark fantasy.",English,USA,Other Win,52.0,5.2,2046,0,0.0,Purple Milk,1.0,small,0
4796,Ashby,2015,R,100,Comedy,Tony McNamara,Tony McNamara,"Mickey Rourke, Nat Wolff, Emma Roberts, Sarah Silverman","High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live.",English,USA,Nomination,46.0,6.4,13925,1,4631.0,The Film Arcade,18.0,small,0
4798,Slow Learners,2015,Not Rated,96,Comedy,"Don Argott, Sheena M. Joyce","Heather Maidat (screenplay by), Heather Maidat (story by), Peter C. Swords (story by)","Adam Pally, Megan Neuringer, Bobby Spears Jr., Peter Grosz","Jeff and Anne, two close friends and co-workers, are embarrassingly unlucky at love. They hatch a plan to transform themselves over the course of a sex-and-alcohol-fueled summer.",English,USA,,52.0,5.8,2591,1,21080.0,IFC Films,127.0,big,0
